id,title,code,description,no_of_years,level
380,Bachelor of Agricultural Entrepreneurship,BAE,NULL,4,UNDERGRADUATE
381,Bachelor of Agricultural Entrepreneurship major in Crop Production Technology,BAE-CPT,NULL,4,UNDERGRADUATE
382,Bachelor of Agricultural Entrepreneurship major in Animal Production Technology,BAE-APT,NULL,4,UNDERGRADUATE
383,Bachelor of Science in Agriculture,BSA,NULL,4,UNDERGRADUATE
384,Bachelor of Science in Agriculture major in Crop Science,BSA-CS,NULL,4,UNDERGRADUATE
385,Bachelor of Science in Agriculture major in Animal Science,BSA-AS,NULL,4,UNDERGRADUATE
386,Bachelor of Science in Environmental Science,BSES,NULL,4,UNDERGRADUATE
387,Bachelor of Science in Food Technology,BSFT,NULL,4,UNDERGRADUATE
388,Bachelor of Arts in English Language Studies,BAELS,NULL,4,UNDERGRADUATE
389,Bachelor of Arts in Journalism,BAJOURN,NULL,4,UNDERGRADUATE
390,Bachelor of Arts in Political Science,BAPS,NULL,4,UNDERGRADUATE
391,Bachelor of Science in Applied Mathematics,BSAM,NULL,4,UNDERGRADUATE
392,Bachelor of Science in Biology,BSBIO,NULL,4,UNDERGRADUATE
393,Bachelor of Science in Biology major in Ecology,BSBIO-ECOLOGY,NULL,4,UNDERGRADUATE
394,Bachelor of Science in Biology major in General Biology,BSBIO-GEN BIO,NULL,4,UNDERGRADUATE
395,Bachelor of Science in Biology major in Medical Biology,BSBIO-MED BIO,NULL,4,UNDERGRADUATE
396,Bachelor of Science in Biology major in Microbiology,BSBIO-MICRO,NULL,4,UNDERGRADUATE
397,Bachelor of Science in Psychology,BSPSYC,NULL,4,UNDERGRADUATE
398,Bachelor of Science in Social Work,BSSW,NULL,4,UNDERGRADUATE
399,Bachelor of Science in Development Communication,BSDEVCOM,NULL,4,UNDERGRADUATE
400,Bachelor of Arts in Communication,BACOMM,NULL,4,UNDERGRADUATE
401,Bachelor of Science in Criminology,BSC,NULL,4,UNDERGRADUATE
402,Bachelor of Science in Industrial Security Management,BSISM,NULL,4,UNDERGRADUATE
403,Bachelor of Science in Accountancy,BSACC,NULL,4,UNDERGRADUATE
404,Bachelor of Science in Business Administration major in Human Resource Management,BSBA-HRM,NULL,4,UNDERGRADUATE
405,Bachelor of Science in Business Administration major in Financial Management,BSBA-FM,NULL,4,UNDERGRADUATE
406,Bachelor of Science in Business Administration major in Marketing Management,BSBA-MM,NULL,4,UNDERGRADUATE
407,Bachelor of Science in Business Administration major in Operations Management,BSBA-OM,NULL,4,UNDERGRADUATE
408,Bachelor of Science in Business Administration major in Service Management Program,BSBA-SMP,NULL,4,UNDERGRADUATE
409,Bachelor of Science in Business Management,BSBM,NULL,4,UNDERGRADUATE
