id,title,code,description,lecture_units,laboratory_units,is_credit,created_at,updated_at
21,***,COMMELEC115,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
22,AB Electrification and Control Systems,ABEN80,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
23,AB Machinery and Mechanization,ABEN70,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
24,AB Power Engineering,ABEN50,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
25,AB Products Processing and Storage,ABEN85,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
26,AB Structures Engineering,ABEN60,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
27,"ABE and Related Laws, Specifications, Contracts, and Professional Ethics",ABEN24,NULL,1,0,1,7/8/2024 16:27,7/8/2024 16:27
28,Abstract Algebra,BSEM37,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
29,AC and DC Industrial Motor Controls,ELEC90,NULL,2,3,1,7/8/2024 16:27,7/8/2024 16:27
30,Accountancy Research,ACTG32,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
31,Accounting for Business Combinations,ACTG31,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
32,Accounting for Government and Non-Profit Organizations,ACTG33,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
33,Accounting for Special Transactions,ACTG30,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
34,Accounting Information System,ITEC30,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
35,Accounting Research Methods,ACTG29,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
36,"Adapted Physical Education and Recreation, Music and Health",SNED28,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
37,Administration and Management of Physical Education and Health Education Programs,BPED20,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
38,Administration and Supervision,MDWY110a,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
40,Advance Digital Electronics,ELEX75,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
41,Advanced Calculus I,BSAM65,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
42,Advanced Database System,DCIT55,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
43,Advanced Engineering Math,DCEE22a,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
44,Advanced Engineering Mathematics,ENSC21a,NULL,3,1,1,7/8/2024 16:27,7/8/2024 16:27
45,Advanced Genetics I,BGEN50,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
46,Advanced Genetics II,BGEN55,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
47,Advanced Mathematics for IE,IENG70,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
48,Advanced Statistics,BSEM34,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
50,Agribusiness Commodity Systems,AGSC4,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
51,Agribusiness Finance,ETRP55,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
52,Agribusiness Management,ETRP50,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
53,Agribusiness Research,ETRP60,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
54,Agricultural Competency Appraisal I,AGSC197,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
55,Agricultural Competency Appraisal II,AGSC198,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
56,Agricultural Economics and Marketing,ECON12,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
57,Agricultural Extension and Communication,EXTN11,NULL,3,0,1,7/8/2024 16:27,11/25/2024 9:04
58,Agricultural Policy and Development,AGSC5,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
59,Agri-Fishery Part I,TECO25,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
60,Agri-Fishery Part II,TECO28,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
61,Agronomic Crop Production Enterprise,AECP131,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
62,Analysis of Urine and Body Fluids,MEDT15,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
63,Analytic Geometry,MATH1,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
64,Analytical Chemistry,BSES28,NULL,3,2,1,7/8/2024 16:27,7/8/2024 16:27
65,Analytical Chemistry (Qualitative and Quantitative Chem),CHEM16,NULL,3,2,1,7/8/2024 16:27,7/8/2024 16:27
66,Anatomy and Physiology,BSES24,NULL,3,1,1,7/8/2024 16:27,7/8/2024 16:27
67,Anatomy and Physiology of Human Movement,BPED65,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
68,Ang Filipino sa Kurikulum ng Batayang Edukasyon,BSEF23,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
69,Animal Breeding,ANSC131,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
70,Animal Diseases Prevention and Control,ANSC136,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
71,Animal Nutrition and Feeding,AEAP106,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
72,Animal Physiology,ANSC106,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
73,Animal Product Processing,AEAP121,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
74,Animal Welfare,ZOTC85,NULL,2,0,1,7/8/2024 16:27,7/8/2024 16:27
75,"Apiculture, Wildlife Conservation and Medicine",VMED95,NULL,2,0,1,7/8/2024 16:27,7/8/2024 16:27
76,Application Development and Emerging Technologies,DCIT26,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
77,Applied Business Tools and Technologies,TOUR23,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
78,Applied Business Tools and Technologies (GDS) with Lab,BSHM23,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
79,"Applied Motor Control  and Learning Exercise, Sports and Dance",BPED155,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
80,Applied Multivariate Analysis,BSAM121,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
81,Applied Physics,PHYS5,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
82,Applied Statistics,STAT2,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
83,Applied Statistics and Experimental Designs for Agricultural Science,STAT11,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
84,Applied Thermodynamics,ENGS29,NULL,1,1,1,7/8/2024 16:27,7/8/2024 16:27
85,Approaches and Practices in Pest Management,CRPT2,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
86,Aquaculture and Aquatic Animal Medicine,VMED85,NULL,2,0,1,7/8/2024 16:27,7/8/2024 16:27
87,Aquaculture Engineering,ABEN115,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
88,Aquatic Science,ENSC65,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
89,Aquatics,BPED105,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
90,Architectural Design I,ARCH50,NULL,1,1,1,7/8/2024 16:27,7/8/2024 16:27
91,Architectural Design II,ARCH60,NULL,1,1,1,7/8/2024 16:27,7/8/2024 16:27
92,Architectural Design III,ARCH75,NULL,1,2,1,7/8/2024 16:27,7/8/2024 16:27
93,Architectural Design IV,ARCH95,NULL,1,2,1,7/8/2024 16:27,7/8/2024 16:27
94,Architectural Design IX,ARCH205,NULL,1,4,1,7/8/2024 16:27,7/8/2024 16:27
95,Architectural Design V,ARCH115,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
96,Architectural Design VI,ARCH135,NULL,1,3,1,7/8/2024 16:27,7/8/2024 16:27
97,Architectural Design VII,ARCH160,NULL,1,4,1,7/8/2024 16:27,7/8/2024 16:27
98,Architectural Design VIII,ARCH185,NULL,1,4,1,7/8/2024 16:27,7/8/2024 16:27
99,Architectural Design X-Thesis,ARCH225,NULL,1,4,1,7/8/2024 16:27,7/8/2024 16:27
100,Architectural Interiors,ARCH70,NULL,1,1,1,7/8/2024 16:27,7/8/2024 16:27
101,Architectural Structures,ARCH28,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
102,Architecture and Organization,COSC65,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
103,Argumentation and Debate,ENLS121,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
104,Arnis and Disarming Techniques,FITT6,NULL,2,0,1,7/8/2024 16:27,7/8/2024 16:27
105,Art Appreciation,GNED01,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
106,Art Appreciation (Creativity in Engg Design),GNED01,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
107,Arts in Daily Living,HECO29,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
108,Arts in the K- 12 Curriculum,BPED55,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
109,Asian Language I,ALAN1,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
110,Asian Language II,ALAN2,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
111,Asian Studies,BSESS32,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
112,Assessment and Evaluation in Mathematics,BSEM40,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
113,Assessment and Evaluation in the Social Sciences,BSESS40,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
114,Assessment in Learning I,EDUC75,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
115,Assessment in Learning II,EDUC80,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
116,Assessment of Children's Development and Learning,ECED29,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
117,Assessment of Fitness and Sports,FASC130,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
